TESTY;WYSOKOSC;SZEROKOSC;PROPORCJA;MATERIALY;DOMKI;KOPALNIE;SREDNIA SIEC;NAJGORSZA SIEC;NAJLEPSZA SIEC;SREDNIA ALGORYTM;NAJGORSZA ALGORYTM;NAJLEPSZA ALGORYTM
10;4;4;0.5;2;8.2;7.8;0.00017838478088378907;0.0003864765167236328;0.0001277923583984375;0.0010504007339477539;0.001922607421875;9.083747863769531e-05
10;4;4;0.5;5;8.0;8.0;0.00013570785522460939;0.00016689300537109375;0.00011968612670898438;0.0008777141571044922;0.0017788410186767578;9.632110595703125e-05
10;4;4;0.5;8;8.0;8.0;0.00013399124145507812;0.00014138221740722656;0.00011229515075683594;0.0007390737533569336;0.001283407211303711;9.512901306152344e-05
10;4;4;0.7;2;11.4;4.6;0.000125885009765625;0.0001556873321533203;9.751319885253906e-05;0.0010233163833618165;0.0017321109771728516;0.00048041343688964844
10;4;4;0.7;5;11.1;4.9;0.00012576580047607422;0.0001575946807861328;8.940696716308594e-05;0.0006289005279541016;0.0011260509490966797;0.00025653839111328125
10;4;4;0.7;8;11.2;4.8;0.00011432170867919922;0.00013375282287597656;9.393692016601562e-05;0.0009130477905273437;0.0015180110931396484;0.000667572021484375
10;4;4;0.9;2;14.9;1.3;8.783340454101562e-05;0.00018024444580078125;6.079673767089844e-05;0.0004140138626098633;0.0015294551849365234;6.365776062011719e-05
10;4;4;0.9;5;15.2;1.2;6.635189056396485e-05;8.034706115722656e-05;6.079673767089844e-05;0.00020837783813476562;0.0005698204040527344;6.699562072753906e-05
10;4;4;0.9;8;14.2;1.9;7.693767547607422e-05;9.751319885253906e-05;6.222724914550781e-05;0.0003930807113647461;0.0007634162902832031;6.413459777832031e-05
10;4;6;0.5;2;12.1;11.9;0.0002963781356811523;0.0003597736358642578;0.0002589225769042969;0.005582475662231445;0.009197473526000977;0.00022554397583007812
10;4;6;0.5;5;10.6;13.4;0.0003047466278076172;0.0005540847778320312;0.0002627372741699219;0.003197193145751953;0.0067138671875;0.0007803440093994141
10;4;6;0.5;8;11.4;12.6;0.0002893209457397461;0.00044918060302734375;0.00023627281188964844;0.002965545654296875;0.00587916374206543;0.00022864341735839844
10;4;6;0.7;2;16.4;7.6;0.0003313302993774414;0.0004634857177734375;0.00026035308837890625;0.0074422359466552734;0.011653661727905273;0.005143165588378906
10;4;6;0.7;5;16.8;7.2;0.0002621889114379883;0.00041365623474121094;0.00018405914306640625;0.0033708810806274414;0.0056650638580322266;0.0022432804107666016
10;4;6;0.7;8;16.9;7.1;0.0002405405044555664;0.00035572052001953125;0.00018262863159179688;0.004753494262695312;0.0072422027587890625;0.003253936767578125
10;4;6;0.9;2;21.8;2.3;0.00012598037719726562;0.00019478797912597656;7.891654968261719e-05;0.0015029668807983398;0.0046977996826171875;0.0003414154052734375
10;4;6;0.9;5;21.8;2.2;0.0001286745071411133;0.0001723766326904297;7.796287536621094e-05;0.0006559848785400391;0.001100301742553711;0.00012350082397460938
10;4;6;0.9;8;22.3;1.9;0.00016407966613769532;0.0003039836883544922;9.846687316894531e-05;0.001993250846862793;0.005530834197998047;0.00012922286987304688
10;4;8;0.5;2;15.0;17.0;0.000702071189880371;0.0012624263763427734;0.0005061626434326172;0.024300050735473634;0.03496384620666504;0.015473365783691406
10;4;8;0.5;5;15.4;16.6;0.0004873037338256836;0.0005233287811279297;0.0004363059997558594;0.009870052337646484;0.01832437515258789;0.0028963088989257812
10;4;8;0.5;8;16.4;15.6;0.0005946874618530274;0.0012035369873046875;0.0003743171691894531;0.010646510124206542;0.01845097541809082;0.005246162414550781
