1wystapienie_na_koncu_2litery: 0.1743s, 0.188s, 0.2044s - 	śr. 0.1889s
1wystapienie_na_koncu_4litery: 0.1106s, 0.0853s, 0.0955s - 	śr. 0.0971s
1wystapienie_na_poczatku_2litery: 0.184s, 0.1784s, 0.1719s - 	śr. 0.1781
1wystapienie_na_poczatku_4litery: 0.0829s, 0.0943s, 0.102s - 	śr. 0.0931
2wystapienia_2litery: 0.2346s, 0.2122s, 0.22s - 		śr. 0.2223s
2wystapienia_4litery: 0.1124s, 0.107s, 0.0857s - 		śr. 0.1017s
5wystapienia_2litery: 0.1671s, 0.1874s, 0.1763s - 		śr. 0.1769s
5wystapienia_4litery: 0.105s, 0.0921s, 0.105s - 		śr. 0.1007s
100wystapien_2litery: 0.2977s, 0.2245s, 0.1986s - 		śr. 0.2403s
100wystapien_4litery: 0.158s, 0.1243s, 0.1002s - 		śr. 0.1275s
100wystapien_4litery_przeszkadzajki: 0.2407s, 0.2119s, 0.215s - śr. 0.2225s
